INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Shooting
206890929,12/31/2019,23:15:00,MANHATTAN,28,0,HOTEL/MOTEL,TRUE,25-44,M,BLACK,25-44,M,BLACK,"997,155","230,828",40.80024433,-73.95339009,1
206891917,12/31/2019,20:14:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,"1,007,235","179,932",40.66052686,-73.91715617,1
206882664,12/30/2019,21:29:00,BROOKLYN,71,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,000,996","178,614",40.65692324,-73.93964678,1
206875589,12/30/2019,3:17:00,BROOKLYN,81,0,,FALSE,,,,18-24,M,BLACK,"1,006,612","189,509",40.68681517,-73.91936988,1
206875589,12/30/2019,3:17:00,BROOKLYN,81,0,,FALSE,,,,45-64,M,BLACK HISPANIC,"1,006,612","189,509",40.68681517,-73.91936988,1
206874852,12/29/2019,0:50:00,BROOKLYN,77,0,,FALSE,,,,18-24,M,BLACK,"996,128","184,418",40.6728618,-73.95718143,1
206873688,12/28/2019,19:51:00,BROOKLYN,75,0,,FALSE,,,,25-44,M,BLACK HISPANIC,"1,019,355","188,601",40.68428155,-73.87342672,1
206874854,12/28/2019,17:53:00,STATEN ISLAND,121,0,,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,"939,602","167,591",40.62657078,-74.16084528,1
206873686,12/28/2019,4:20:00,MANHATTAN,23,0,,FALSE,,,,25-44,M,ASIAN / PACIFIC ISLANDER,"1,000,900","228,610",40.79415026,-73.93986909,1
206873687,12/27/2019,23:27:00,BRONX,46,0,,TRUE,25-44,M,BLACK HISPANIC,18-24,M,BLACK,"1,010,591","250,447",40.85406303,-73.90478382,1
206873499,12/27/2019,22:40:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,"1,053,272","196,881",40.70680864,-73.75105111,1
206873498,12/27/2019,10:11:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,"1,009,872","182,963",40.66883905,-73.90764007,1
206847122,12/26/2019,4:25:00,QUEENS,114,0,,FALSE,,,,25-44,M,BLACK,"1,005,336","213,624",40.75300815,-73.92389526,1
206843560,12/25/2019,22:50:00,BRONX,41,0,,FALSE,,,,18-24,M,BLACK HISPANIC,"1,013,775","238,190",40.82041106,-73.89332824,1
206843561,12/25/2019,2:40:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,"996,904","173,082",40.64174589,-73.95440523,1
206843363,12/25/2019,0:19:00,BROOKLYN,90,1,,FALSE,,,,25-44,M,WHITE HISPANIC,"998,704","195,811",40.70412914,-73.94787055,1
206838693,12/24/2019,19:07:00,BROOKLYN,77,0,,FALSE,,,,18-24,M,BLACK,"1,005,300","182,759",40.66829116,-73.92412169,1
206832369,12/23/2019,20:51:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,F,BLACK,"984,688","150,503",40.5797802,-73.99842465,1
206832369,12/23/2019,20:51:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK,"984,688","150,503",40.5797802,-73.99842465,1
206832555,12/23/2019,15:31:00,BROOKLYN,73,0,,FALSE,25-44,M,BLACK,45-64,M,BLACK,"1,009,574","180,396",40.66179406,-73.90872393,1
206832556,12/23/2019,11:25:00,QUEENS,113,0,,FALSE,,,,18-24,M,BLACK,"1,046,959","186,778",40.67912532,-73.77391494,1
206824627,12/23/2019,5:28:00,BRONX,48,0,,FALSE,,,,25-44,F,BLACK HISPANIC,"1,011,829","248,086",40.847579,-73.90031841,1
206824627,12/23/2019,5:28:00,BRONX,48,0,,FALSE,,,,25-44,M,BLACK,"1,011,829","248,086",40.847579,-73.90031841,1
206823156,12/21/2019,4:36:00,BRONX,44,0,,FALSE,25-44,M,BLACK,45-64,M,BLACK,"1,004,227","237,572",40.81874158,-73.92782679,1
206821821,12/21/2019,4:30:00,BROOKLYN,78,1,,FALSE,,,,25-44,M,BLACK HISPANIC,"991,724","186,291",40.67800758,-73.9730557,1
206823155,12/21/2019,3:20:00,BROOKLYN,70,0,,FALSE,,,,25-44,M,BLACK,"995,944","176,899",40.65222405,-73.95785778,1
206821819,12/20/2019,21:36:00,BRONX,47,0,,FALSE,,,,<18,M,BLACK,"1,020,998","257,118",40.87233571,-73.867128,1
206729523,12/19/2019,21:22:00,QUEENS,105,0,,FALSE,,,,18-24,M,BLACK,"1,051,883","184,698",40.67337996,-73.75618327,1
206729524,12/19/2019,16:20:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,TRUE,,,,25-44,F,BLACK,"1,006,160","180,447",40.66194315,-73.92102913,1
