INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,DAY_OF_THE_WEEK,TIME,Shooting
9953246,1/1/2006,5:51:00,BRONX,44,0,NONE,FALSE,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1007418,243859,40.8359898,-73.91627636,Sunday,5.85,1
9953247,1/1/2006,3:30:00,BROOKLYN,67,0,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,999316,176460,40.651014,-73.94570652,Sunday,3.50,1
9953250,1/1/2006,2:34:00,QUEENS,114,0,BAR/NIGHT CLUB,TRUE,18-24,M,BLACK,25-44,M,BLACK,1002577,221583,40.7748597,-73.93383168,Sunday,2.57,1
9953250,1/1/2006,2:34:00,QUEENS,114,0,BAR/NIGHT CLUB,TRUE,25-44,M,BLACK,25-44,M,BLACK,1002577,221583,40.7748597,-73.93383168,Sunday,2.57,1
9953252,1/1/2006,2:22:00,MANHATTAN,28,0,NONE,TRUE,25-44,M,BLACK,25-44,M,BLACK,998816,233545,40.80769916,-73.94738486,Sunday,2.37,1
9953245,1/1/2006,2:00:00,BRONX,48,0,NONE,FALSE,18-24,M,BLACK,<18,M,BLACK,1013405,251801,40.85777051,-73.89460588,Sunday,2.00,1
9953248,1/1/2006,19:00:00,QUEENS,106,0,NONE,FALSE,18-24,M,BLACK,18-24,M,BLACK,1028605,187930,40.68239829,-73.84007937,Sunday,19.00,1
139716503,1/1/2006,12:30:00,BROOKLYN,77,0,PVT HOUSE,TRUE,,,,25-44,M,BLACK,996442,184160,40.67215322,-73.95604993,Sunday,12.50,1
9953255,1/2/2006,3:59:00,BROOKLYN,70,0,BAR/NIGHT CLUB,FALSE,18-24,M,BLACK,18-24,M,BLACK,996545,175090,40.64725792,-73.95569516,Monday,3.98,1
9953255,1/2/2006,3:59:00,BROOKLYN,70,0,BAR/NIGHT CLUB,FALSE,18-24,M,BLACK,25-44,M,BLACK HISPANIC,996545,175090,40.64725792,-73.95569516,Monday,3.98,1
9953257,1/2/2006,10:53:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,BLACK,963024,171639,40.63776877,-74.07648063,Monday,10.88,1
9953249,1/2/2006,0:49:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,TRUE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1000067,198311,40.71098872,-73.94294878,Monday,0.82,1
9953259,1/3/2006,1:57:00,BROOKLYN,73,0,NONE,FALSE,,U,UNKNOWN,25-44,M,BLACK,1007379,185230,40.67506831,-73.91661897,Tuesday,1.95,1
9953258,1/3/2006,1:48:00,QUEENS,106,0,NONE,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK,1028605,187930,40.68239829,-73.84007937,Tuesday,1.80,1
10038625,1/3/2006,16:25:00,BROOKLYN,73,0,CLOTHING BOUTIQUE,TRUE,18-24,M,BLACK HISPANIC,25-44,M,BLACK,1009232,182837,40.66849503,-73.90994758,Tuesday,16.42,1
9953261,1/3/2006,13:54:00,QUEENS,109,0,PVT HOUSE,FALSE,25-44,M,WHITE HISPANIC,25-44,M,WHITE,1026688,224835,40.7837027,-73.84675833,Tuesday,13.90,1
10038627,1/4/2006,5:11:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,UNKNOWN,18-24,M,BLACK,997754,193359,40.69740047,-73.9513018,Wednesday,5.18,1
10038624,1/4/2006,3:34:00,QUEENS,105,0,BAR/NIGHT CLUB,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK,1057466,204039,40.72642184,-73.73584631,Wednesday,3.57,1
10038629,1/4/2006,23:00:00,QUEENS,114,0,GROCERY/BODEGA,FALSE,UNKNOWN,M,WHITE HISPANIC,45-64,M,ASIAN / PACIFIC ISLANDER,1007694,219657,40.76956124,-73.91536345,Wednesday,23.00,1
10038630,1/4/2006,19:17:00,BRONX,42,0,FAST FOOD,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK,1010158,242491,40.83222742,-73.90637977,Wednesday,19.28,1
10038634,1/5/2006,22:02:00,BROOKLYN,83,0,,FALSE,UNKNOWN,M,UNKNOWN,18-24,M,BLACK,1008353,189039,40.68552055,-73.91309398,Thursday,22.03,1
10038633,1/5/2006,19:25:00,BROOKLYN,81,0,GROCERY/BODEGA,FALSE,45-64,M,BLACK,18-24,M,WHITE HISPANIC,1006211,189585,40.68702477,-73.92081554,Thursday,19.42,1
10038632,1/5/2006,19:12:00,BRONX,41,0,NONE,FALSE,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1011607,236142,40.81479686,-73.90116952,Thursday,19.20,1
10038631,1/5/2006,15:06:00,BRONX,52,0,,FALSE,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1012694,254136,40.86418169,-73.89716624,Thursday,15.10,1
10038637,1/6/2006,5:28:00,BRONX,44,0,NONE,FALSE,18-24,M,BLACK,18-24,M,BLACK,1007237,241770,40.83025657,-73.91693762,Friday,5.47,1
10038637,1/6/2006,5:28:00,BRONX,44,0,NONE,FALSE,25-44,M,BLACK,18-24,M,BLACK,1007237,241770,40.83025657,-73.91693762,Friday,5.47,1
10038635,1/6/2006,3:30:00,BRONX,52,0,,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK HISPANIC,1015037,255620,40.86824696,-73.88868865,Friday,3.50,1
10038638,1/6/2006,21:29:00,QUEENS,106,0,NONE,FALSE,25-44,M,WHITE,25-44,M,WHITE,1029255,184138,40.67198684,-73.83776112,Friday,21.48,1
10038640,1/7/2006,5:12:00,QUEENS,110,0,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,WHITE HISPANIC,1020255,210816,40.74525274,-73.87006287,Saturday,5.20,1
10038645,1/7/2006,19:29:00,BROOKLYN,69,0,PVT HOUSE,TRUE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1012422,173575,40.64306331,-73.89848713,Saturday,19.48,1
10038642,1/8/2006,3:40:00,BROOKLYN,67,0,NONE,FALSE,18-24,M,BLACK,<18,M,BLACK,1003875,179582,40.65957427,-73.92926769,Sunday,3.67,1
10038643,1/8/2006,3:36:00,BROOKLYN,63,0,,TRUE,,,,18-24,M,BLACK,1004064,170700,40.63519469,-73.92861257,Sunday,3.60,1
10038644,1/8/2006,17:35:00,QUEENS,101,0,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1053648,159131,40.60319062,-73.7500834,Sunday,17.58,1
10038641,1/8/2006,0:35:00,STATEN ISLAND,120,0,NONE,FALSE,,U,UNKNOWN,18-24,M,BLACK,960916,171306,40.63684945,-74.08407478,Sunday,0.58,1
10038649,1/9/2006,21:56:00,BRONX,42,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,UNKNOWN,25-44,M,BLACK,1014449,241463,40.82939223,-73.89087837,Monday,21.93,1
10137411,1/9/2006,21:25:00,BROOKLYN,72,0,NONE,TRUE,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,982106,172074,40.63898793,-74.00772661,Monday,21.42,1
10137411,1/9/2006,21:25:00,BROOKLYN,72,0,NONE,TRUE,18-24,M,WHITE,25-44,M,ASIAN / PACIFIC ISLANDER,982106,172074,40.63898793,-74.00772661,Monday,21.42,1
10137411,1/9/2006,21:25:00,BROOKLYN,72,0,NONE,TRUE,<18,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,982106,172074,40.63898793,-74.00772661,Monday,21.42,1
10137408,1/9/2006,21:18:00,BRONX,47,0,NONE,TRUE,18-24,M,BLACK,18-24,M,BLACK,1025683,261870,40.88535771,-73.85015861,Monday,21.30,1
10137408,1/9/2006,21:18:00,BRONX,47,0,NONE,TRUE,<18,M,WHITE HISPANIC,18-24,M,BLACK,1025683,261870,40.88535771,-73.85015861,Monday,21.30,1
10038648,1/9/2006,18:26:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,UNKNOWN,18-24,M,BLACK,1001213,229173,40.79569494,-73.93873725,Monday,18.43,1
10038647,1/9/2006,15:20:00,BROOKLYN,81,0,NONE,FALSE,18-24,M,BLACK,25-44,M,BLACK,1005863,189395,40.68650412,-73.92207095,Monday,15.33,1
10137410,1/9/2006,10:30:00,BRONX,44,0,NONE,FALSE,,U,UNKNOWN,<18,M,BLACK,1008184,246959,40.84449635,-73.91349711,Monday,10.50,1
10137413,1/10/2006,9:49:00,BRONX,48,0,,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK HISPANIC,1016293,250009,40.852842,-73.88417431,Tuesday,9.82,1
10137414,1/10/2006,22:15:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,999149,179048,40.65811777,-73.94630263,Tuesday,22.25,1
10137414,1/10/2006,22:15:00,BROOKLYN,71,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,999149,179048,40.65811777,-73.94630263,Tuesday,22.25,1
10137412,1/10/2006,16:56:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,WHITE HISPANIC,990007,192515,40.69509232,-73.97924063,Tuesday,16.93,1
10137412,1/10/2006,16:56:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,BLACK,18-24,M,WHITE HISPANIC,990007,192515,40.69509232,-73.97924063,Tuesday,16.93,1
10137416,1/11/2006,21:47:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,WHITE,25-44,M,WHITE,983858,212466,40.74985486,-74.00141624,Wednesday,21.78,1
10137418,1/11/2006,19:15:00,BROOKLYN,67,0,NONE,FALSE,25-44,M,BLACK,25-44,M,BLACK,1005752,179585,40.65957815,-73.92250248,Wednesday,19.25,1
10137417,1/12/2006,1:50:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK,999126,235493,40.81304537,-73.94626073,Thursday,1.83,1
10137421,1/12/2006,15:50:00,BROOKLYN,73,0,NONE,FALSE,<18,M,BLACK,45-64,M,BLACK,1008585,182712,40.66815374,-73.91228031,Thursday,15.83,1
10137429,1/13/2006,22:35:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,1017824,243494,40.83495455,-73.87867276,Friday,22.58,1
10137426,1/13/2006,20:50:00,BROOKLYN,77,0,,FALSE,<18,M,BLACK,18-24,M,BLACK,1001484,183731,40.67096733,-73.93787489,Friday,20.83,1
10137425,1/13/2006,20:45:00,BROOKLYN,75,0,NONE,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK,1013691,180293,40.66149862,-73.89388513,Friday,20.75,1
10137424,1/13/2006,19:20:00,BRONX,43,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,BLACK HISPANIC,1022720,243543,40.83506907,-73.8609795,Friday,19.33,1
10137422,1/13/2006,18:30:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,25-44,M,WHITE HISPANIC,940771,167798,40.62714477,-74.15663531,Friday,18.50,1
10137422,1/13/2006,18:30:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,940771,167798,40.62714477,-74.15663531,Friday,18.50,1
10137423,1/13/2006,18:27:00,QUEENS,111,0,,FALSE,<18,M,BLACK,<18,M,BLACK,1051474,212698,40.75023613,-73.75737814,Friday,18.45,1
10137431,1/14/2006,7:30:00,QUEENS,108,0,NONE,TRUE,,U,UNKNOWN,18-24,M,WHITE,1011250,209360,40.74128846,-73.90256686,Saturday,7.50,1
10137430,1/14/2006,5:00:00,BRONX,49,0,NONE,TRUE,25-44,M,WHITE HISPANIC,18-24,F,WHITE HISPANIC,1022846,255790,40.86868287,-73.86045366,Saturday,5.00,1
10137428,1/14/2006,2:00:00,MANHATTAN,26,0,GROCERY/BODEGA,FALSE,UNKNOWN,U,UNKNOWN,45-64,F,BLACK,997129,237012,40.81721773,-73.95347213,Saturday,2.00,1
10137427,1/14/2006,1:09:00,BRONX,50,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1012789,259873,40.87992769,-73.89679834,Saturday,1.15,1
10137434,1/14/2006,13:38:00,BROOKLYN,78,2,MULTI DWELL - PUBLIC HOUS,TRUE,18-24,M,BLACK,<18,M,BLACK,988941,187674,40.68180551,-73.98308819,Saturday,13.63,1
10137432,1/15/2006,3:26:00,BROOKLYN,69,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1012661,174513,40.64563715,-73.89762197,Sunday,3.43,1
10137432,1/15/2006,3:26:00,BROOKLYN,69,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,WHITE HISPANIC,1012661,174513,40.64563715,-73.89762197,Sunday,3.43,1
